Author
Kaye Wagner
Farah Cook
Dino Olivieri
Amy Tintera
D.H. Nevins
Bryan  Murphy
Jamie Canosa
Alex Garland
G.B. Hope
Samuel R. Delany
Ben H. Winters
Alex Adams
Cecelia Ahern
Conor Kostick
Scott M. Baker
Scott M. Baker
David A. Simpson
Katharine Burdekin
Nicolas Ryan Moore
David A. Simpson
Gene Wolfe
Charles de Lint
G.B. Hope
Scott Sigler
Amy Engel
Scott M. Baker
Gerald N. Lund
A.G. Riddle
C.J. Redwine
Kristen Simmons
Samuel Beckett
Andreas Eschbach
Octavia E. Butler
Ryan North
Isobelle Carmody
Sherri L. Smith
Julio Alexi Genao
Trevor Shane
David Foster Wallace
A.G. Riddle
Jeff VanderMeer
Nicholas Sansbury Smith
Karen Marie Moning
Pamela Sargent
Margaret Atwood
Simon R. Green
Stephenie Meyer
John Christopher
Robert Kirkman
Michael  Grant
Kristin Cashore
Anna Carey
Melissa de la Cruz
John Christopher
Neal Shusterman
Charles Pellegrino
Philip Wylie
John Green
Veronica Roth
Cassandra Clare
Jacqui Castle
Malorie Blackman
Nora Roberts
Tim Hamilton
Arthur Koestler
Margaret Atwood
Terry Brooks
Jo Treggiari
Hugh Howey
Thomas M. Disch
Leigh Richards
Deborah Harkness
J.G. Ballard
Karen Healey
Leora Skolkin-Smith
Tanith Lee
Monica La Porta
Redfern Jon Barrett
Michael  Barnett
Isaac Asimov
Hugh Howey
Jamie A. Waters
Grace R. Duncan
James McLaughlin Ward
Kristy Acevedo
Holly Chavez
Tiffany FitzHenry
Julian North
Clare Rhoden
Laura Ingalls-Wei
Scott Coon
Vincent Hobbes
Rachel Fisher
H.M.C.
Mike Chen
Catherine Downen
Rohinton Mistry
Barry B. Longyear
Manna Francis
Retta Bono
Roger Zelazny
Lachlan Walter
Bruce Boston
J.D.   Palmer
Kira Jane Buxton
Will Self
Jostein Gaarder
Richard K. Morgan
Christopher Priest
Kelly Keaton
John Joseph Adams
Claire Vaye Watkins
Emily Suvada
Bryan  Murphy
Octavia E. Butler
A.G. Riddle
KaSonndra Leigh
Elizabeth Lang
D.J. Molles
James Frey
S.A. Bodeen
Tad Williams
Michael Crichton
Margaret Atwood
Paolo Bacigalupi
Julie Bertagna
Ann Aguirre
Blake Crouch
Maureen F. McHugh
Jodi Meadows
Tahereh Mafi
Anthony Burgess
Arkady Strugatsky
Ais
Robert Hugh Benson
Anne McCaffrey
Tara Brown
Sophie Littlefield
Joe Hill
Janet E. Morris
Sophie Littlefield
Mark Tufo
James Alan Gardner
Lauren Beukes
Richelle Mead
Michael Chabon
Allison M. Dickson
Isaac Asimov
Patrick Ness
Nnedi Okorafor
Andre Norton
Shannon A. Thompson
David  Lindsay
Neal Stephenson
Lauren Oliver
Neal Shusterman
Adam Baker
Benjamin Percy
Carrie Vaughn
Alena Graedon
C. Robert Cargill
Andrea  White
Ben Marcus
Jeff VanderMeer
David Estes
Blake Crouch
William Gibson
Arthur C. Clarke
Mark Dunn
David Brin
Gard Skinner
Sheri S. Tepper
Sarah Hall
Trisha Leigh
Caragh M. O'Brien
Morgan Rice
Orson Scott Card
Margaret Weis
Christina Dalcher
Charles de Lint
Susan Beth Pfeffer
C.S. Lewis
Chuck Palahniuk
Richard  Adams
Jack Womack
Will McIntosh
Andrew  Smith
Juliet Marillier
Douglas Adams
Philip K. Dick
Ann Leckie
Doris Lessing
David L.  Dawson
Gillian Flynn
John Brunner
Dan Wells
Georges Perec
Dan Wells
Margery Williams Bianco
Tad Williams
Octavia E. Butler
Colson Whitehead
Lisa McMann
Aldous Huxley
Susan Beth Pfeffer
Maggie Stiefvater
T.S. Eliot
Adrian J. Walker
Emily Diamand
Lois McMaster Bujold
Jeff  Carlson
Kian Kaul
T.C. McCarthy
Sandra Nicholls
Jack Ziebell
B.N. Mauldin
Trevor James Zaple
Liz Worth
Curran Geist
M.E. Lorde
Kiersten Fay
J.E. Plemons
Allison Goh
Christina L. Rozelle
Matt Spire
Ryan Michael
Christi Stallard
Chris Michael Wilson
Bruce   Walker
Mathijs Koenraadt
Stephanie Douglas
Shel Calopa
Kelly McWilliams
Adam Frosh
Stephen Janis
Jeff W. Horton
Trisha Wolfe
S.E. Meyer
Kelly Gardner
John Patrick Kennedy
Alexes Razevich
Eric Shonkwiler
Marlen Haushofer
J. Armand
Jared Garrett
Emmy Jackson
Kenneth Jarrett Singleton
Marie Howalt
Sage Sask
Thea Beckman
Dylan J. Morgan
Felix O. Hartmann
Ammar Habib
Stephen Baxter
Don Lively
Ming Wei
Laura Thalassa
Mindy McGinnis
Veronica Roth
Simon R. Green
Jeff W. Horton
Marla Monroe
Lev Grossman
Chrystalla Thoma
Drew Magary
Trish Marie Dawson
C.A. Fletcher
Laura Kreitzer
Pete Hautman
Bryan  Murphy
Francesca Haig
Phillip W. Simpson
Bryan  Murphy
Tim Lott
Jules Verne
Robert Swindells
Harlan Ellison
J.M. Salyards
Nathaniel Hawthorne
Kiersten White
Jenny Moyer
Hugh Howey
Arun D. Ellis
Algis Budrys
M.G. Wells
Scott Cramer
Karen Ann Hopkins
Marissa Meyer
Santino Hassell
David A. Simpson
Misba
Chelsea Quinn Yarbro
Susan Kaye Quinn
David A. Simpson
Scott Westerfeld
Peter J. Dudley
Emma Clayton
Scott Nicholson
Becky Chambers
C.J. West
Elizabeth Hand
Jess Petosa
Sarah Dalton
Vanessa Veselka
Scott Nicholson
M.R. Carey
Robert G. Pielke
David R.  Smith
David Moody
Kiera Cass
Janet E. Morris
Orson Scott Card
Lana Wachowski
Suzanne Weyn
David P. Forsyth
Megan Thomason
Veronica Rossi
Jamie McGuire
C.J. Sansom
Chuck Palahniuk
William Sleator
A.G. Riddle
Scott Westerfeld
A.G. Riddle
Gordon R. Dickson
Jesse Hajicek
M.R. Carey
Janet E. Morris
Michel Houellebecq
Frank Schätzing
A.G. Riddle
Ryan Boudinot
Daniel O'Malley
Hugh Howey
Elizabeth Norris
Louise Lawrence
Peter Clines
Jung Chang
Lily Brooks-Dalton
Kim Stanley Robinson
Clive Barker
Scott Westerfeld
Ursula K. Le Guin
Chuck Palahniuk
Alfred Bester
Lauren Kate
Polly Holyoke
Alex Scarrow
Robert Ferrigno
C.J. Cherryh
David Crawford
Ryan Graudin
Martin Amis
Whitley Strieber
Dan Wells
Alex Scarrow
Terry Brooks
Tom Perrotta
Preston Fleming
Stephen King
Isaac Asimov
David Mitchell
Jonathan Lethem
Preston Fleming
Rebecca Gober
George Saunders
Mercedes Lackey
Jenna Black
Jeff W. Horton
Suzette Haden Elgin
Rebecca Roanhorse
Rupert Thomson
Leigh Brackett
Ruth Francisco
Daniel Ehrenhaft
Kendare Blake
Tim LaHaye
Julie Bertagna
Marissa Meyer
Jeff VanderMeer
Mary Wollstonecraft Shelley
J.K. Rowling
Inara Scott
Ted Dekker
Peter Dickinson
Meljean Brook
George R.R. Martin
Philip Pullman
Victor Gischler
Demitria Lunetta
Jeff VanderMeer
Philip Pullman
Leigh Bardugo
Philip K. Dick
Ilsa J. Bick
Erika Johansen
Ally Condie
Alexander Gordon Smith
Sheri S. Tepper
Terry Brooks
Virginia Bergin
Edith Pattou
Darin Bradley
Tad Williams
Veronica Rossi
Anastasia Hopcus
Gennifer Albin
Tad Williams
Libba Bray
John Steinbeck
R.A. Salvatore
Emmi Itäranta
Erica Stevens
Stephen Baxter
Terry Pratchett
Vincent M. Wales
